SubjectID,VideoID,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,predefinedlabel,user-definedlabeln
0,0,56,43,278,301963,90612,33735,23991,27946,45097,33228,8293,0,0
0,0,40,35,-50,73787,28083,1439,2240,2746,3687,5293,2740,0,0
0,0,47,48,101,758353,383745,201999,62107,36293,130536,57243,25354,0,0
0,0,47,57,-5,2012240,129350,61236,17084,11488,62462,49960,33932,0,0
0,0,44,53,-8,1005145,354328,37102,88881,45307,99603,44790,29749,0,0
0,0,44,66,73,1786446,176766,59352,26157,15054,33669,33782,31750,0,0
0,0,43,69,130,635191,122446,90107,65072,36230,53019,62938,59307,0,0
0,0,40,61,-2,161098,12119,1963,809,1277,3186,3266,2518,0,0
0,0,43,69,17,492796,120998,63697,68242,10769,88403,73756,22676,0,0
0,0,47,69,-59,82048,116131,47317,26197,41642,28866,32551,41810,0,0
0,0,48,38,-14,757165,186196,3242,3841,18854,43021,46799,11928,0,0
0,0,44,48,72,667513,141854,75050,16234,45926,34496,74875,31839,0,0
0,0,47,34,121,165360,42119,3158,6256,7270,19462,10984,8148,0,0
0,0,48,30,-52,737665,84275,2235,38748,21705,28343,80927,24735,0,0
0,0,47,48,69,577024,179555,25937,21604,43790,44432,69203,25586,0,0
0,0,57,43,44,234964,80944,7991,32568,11828,63682,41013,18147,0,0
0,0,57,40,144,671467,133227,7142,14300,23373,65591,47860,16501,0,0
0,0,70,40,25,33290,14729,10980,10407,14316,37112,60378,36306,0,0
0,0,74,44,-138,1025416,268122,67285,36996,10083,80826,90350,26345,0,0
0,0,67,53,25,756442,97387,59785,32241,16122,53157,44602,14331,0,0
0,0,70,66,124,87109,7200,4987,2817,2130,11413,9422,4922,0,0
0,0,57,53,43,802937,83858,3229,7895,27104,17791,18901,12191,0,0
0,0,53,51,35,157687,283941,27259,47930,15132,38238,31599,10121,0,0
0,0,41,50,119,613031,758257,246386,132015,26636,83848,94542,56127,0,0
0,0,27,37,37,603204,47342,3215,2811,1863,7210,7875,1523,0,0
0,0,29,50,102,234796,182944,53997,31259,19633,67149,29367,21433,0,0
0,0,30,35,24,188099,144504,3546,5541,16381,22364,14698,7338,0,0
0,0,37,21,-51,632782,162376,12692,3991,5848,23018,22561,9851,0,0
0,0,30,41,61,477853,264240,217609,76443,22228,38904,66985,42550,0,0
0,0,26,43,290,731447,69065,23286,9017,4767,12942,18230,2111,0,0
0,0,20,56,-21,1099119,673426,74729,93214,67019,50197,88444,30954,0,0
0,0,20,67,4,1969931,185293,41196,21801,7827,35523,22243,23871,0,0
0,0,35,48,-156,1363838,316172,61645,18496,186966,171258,60131,18933,0,0
0,0,48,48,-22,637681,30439,21521,10035,12856,52824,20595,17686,0,0
0,0,63,51,3,423411,128048,70321,5490,22889,70927,22724,7383,0,0
0,0,61,53,0,585120,237694,71643,47282,58807,37566,50029,27424,0,0
0,0,54,67,186,1103969,83627,68911,12218,44447,32024,86928,33393,0,0
0,0,51,50,40,480086,206751,11652,5005,7894,121856,47858,6963,0,0
0,0,57,50,88,48448,6377,2890,4667,4016,10351,9810,2278,0,0
0,0,69,56,26,9313,15189,17884,17607,11743,24911,12283,22119,0,0
0,0,80,54,-7,252800,41805,23580,18972,15411,52067,28635,10415,0,0
0,0,67,51,91,195366,65596,512,2607,6602,9152,12054,6335,0,0
0,0,69,47,80,18403,26289,2162,15904,24282,45184,16441,13761,0,0
0,0,77,34,39,11723,35281,6055,12533,24186,54639,21382,9906,0,0
0,0,66,43,10,233282,30666,43745,31955,14309,19785,25864,9471,0,0
0,0,70,63,103,150690,14877,3795,3328,2292,4455,7051,1672,0,0
0,0,74,69,74,18823,6577,10996,5618,7642,30823,13718,9248,0,0
0,0,69,80,24,341908,33036,30789,16110,5032,51848,30502,13219,0,0
0,0,90,63,53,8588,4716,3320,8459,15884,38632,7068,7283,0,0
0,0,90,60,87,256616,94368,9804,20195,21725,26785,32747,10344,0,0
0,0,77,61,89,22853,28961,15257,12957,9137,15402,45940,4478,0,0
0,0,81,57,-40,8661,9095,13028,14136,19006,37738,27378,12102,0,0
0,0,70,57,11,91553,23931,4921,3249,2296,21990,7514,2779,0,0
0,0,77,60,-20,580030,148325,74965,13663,35966,100939,27601,11601,0,0
0,0,84,51,-33,130837,14436,2265,4228,2396,17168,6475,4698,0,0
0,0,75,43,10,336749,98427,5398,18977,14124,33811,57032,14227,0,0
0,0,77,48,108,49279,28636,10777,18745,11151,53241,75219,6417,0,0
0,0,84,43,45,95437,10987,2892,1337,1401,16244,12615,3145,0,0
0,0,94,43,25,123433,5574,1187,12653,7270,58306,20809,12424,0,0
0,0,100,44,74,71080,19794,7458,2177,19058,16638,16289,14815,0,0
0,0,100,41,37,74424,17236,15576,4886,22499,42571,70116,15802,0,0
0,0,100,47,-156,58860,37401,16918,21404,26403,59084,34219,16582,0,0
0,0,75,53,-12,90015,79586,8334,43916,21724,21729,20178,12945,0,0
0,0,88,56,68,8750,7072,6765,18077,6611,90733,35734,33128,0,0
0,0,81,60,44,201217,6587,1702,2628,1257,6095,2097,4106,0,0
0,0,88,51,92,4210,17350,3735,5612,8083,47956,15865,46190,0,0
0,0,100,57,42,28452,1945,20942,22248,10248,44225,33784,16394,0,0
0,0,87,56,109,234771,36139,6234,6563,13457,15790,56181,10461,0,0
0,0,90,56,43,15374,12260,6754,15641,22124,30405,6331,10828,0,0
0,0,80,67,138,2290,10386,11038,6222,13794,15173,9627,6077,0,0
0,0,83,60,37,180405,10058,6596,8617,8674,28922,20891,10480,0,0
0,0,77,63,20,91061,25916,8048,2298,3602,6460,4609,4987,0,0
0,0,80,53,5,2444,31376,5928,4537,18689,53420,9841,9840,0,0
0,0,75,51,33,226325,38577,8621,25102,27438,16737,25635,11386,0,0
0,0,64,44,-89,118368,81821,12732,7451,11768,33964,13513,23044,0,0
0,0,75,38,144,68646,72933,5920,14240,11564,54291,37361,13864,0,0
0,0,66,47,43,78277,51955,6472,16330,6305,35029,34467,15218,0,0
0,0,69,38,-197,242073,136113,13608,31306,21984,67949,23511,18555,0,0
0,0,77,48,18,191409,35892,13636,30246,6434,61067,27190,9597,0,0
0,0,81,50,58,5247,19363,4172,6989,4894,39731,48295,22841,0,0
0,0,87,44,-100,116823,56636,7451,15046,21773,62067,48305,17925,0,0
0,0,77,44,-57,394683,87005,1813,14702,3258,10747,23429,7630,0,0
0,0,69,40,20,103090,121688,29001,20341,15391,51655,17536,24347,0,0
0,0,56,43,85,324348,139729,20064,26408,10331,47122,64328,7892,0,0
0,0,57,51,259,19068,13035,7706,16304,12924,41988,47299,12807,0,0
0,0,60,43,11,306695,63394,2697,3011,6966,8479,10947,3731,0,0
0,0,57,38,-17,797316,27368,5775,2484,19576,9637,12103,3229,0,0
0,0,60,40,86,41953,55404,14562,10602,6794,22837,19045,23343,0,0
0,0,54,40,341,35567,29703,8135,12382,15414,27324,13682,14977,0,0
0,0,60,43,-8,147162,17452,1902,774,1710,4701,1915,1787,0,0
0,0,63,48,114,238338,84260,25800,22647,23783,59936,19720,29906,0,0
0,0,69,48,58,5290,17561,8723,6946,4450,27686,29290,10289,0,0
0,0,75,44,3,10372,19895,2260,10275,18461,27622,37094,13300,0,0
0,0,88,48,51,8669,9611,3755,2976,9852,24591,15186,6985,0,0
0,0,84,53,54,158064,49690,26428,6891,4899,24021,13308,8286,0,0
0,0,87,57,49,5655,3495,8717,13995,12292,23727,18075,12990,0,0
0,0,70,53,42,453092,42420,4002,1224,2331,5716,8466,1175,0,0
0,0,67,57,12,7071,13836,6204,8102,5014,30012,67918,16944,0,0
0,0,66,60,101,189432,93096,56068,13748,18651,31468,39327,14499,0,0
0,0,60,61,-33,12813,19064,20174,12237,10252,19668,31685,32072,0,0
0,0,70,80,108,356574,28199,55720,32961,8058,63705,50383,41135,0,0
0,0,54,74,-39,498323,111289,6538,12000,6092,16017,21058,5202,0,0
0,0,63,53,40,343853,103026,6198,4588,21356,69280,54032,14112,0,0
0,0,57,50,53,349601,104400,25953,43163,25130,31417,84169,14154,0,0
0,0,51,40,72,354627,30185,12524,3197,9053,13299,21645,3046,0,0
0,0,67,43,-45,564242,140222,31154,32135,30095,167909,53741,18512,0,0
0,0,51,64,327,655645,90881,51657,12105,10240,12386,17857,12219,0,0
0,0,48,64,40,162741,14524,8462,1697,3479,3596,2617,3273,0,0
0,0,54,67,-25,127555,44482,21549,36369,35485,60862,45573,47922,0,0
0,0,40,66,153,621932,119673,18490,9414,16178,18829,17780,9739,0,0
0,0,38,64,200,2521371,433788,228893,44669,108535,44725,117066,34900,0,0
0,0,38,75,121,482325,6062,5419,8736,1904,3279,7686,1367,0,0
0,0,21,70,140,2197150,310845,78556,32552,23904,29143,122673,32799,0,0
0,0,20,81,275,144623,76003,31174,20232,14408,13970,15196,14990,0,0
0,0,21,70,88,748194,119448,15397,9809,5250,10989,25103,16081,0,0
0,0,24,67,38,1139671,115395,147609,28080,15904,65985,72893,13977,0,0
0,0,26,75,113,2723077,269807,36989,182983,75587,38358,50226,26529,0,0
0,0,26,78,65,811696,155624,121384,49527,22563,34212,48464,16027,0,0
0,0,29,87,108,1052039,144155,48221,19583,19691,21952,61247,12496,0,0
0,0,24,66,-66,2251456,578610,37462,35203,35198,85490,219885,58174,0,0
0,0,34,69,-186,2514836,89905,42659,132116,55290,62948,68355,26482,0,0
0,0,30,78,85,1827581,169756,556251,138551,51900,81716,105580,67511,0,0
0,0,29,83,25,2030223,293889,124693,88720,48841,45727,91273,12308,0,0
0,0,24,91,108,946374,134512,32208,10813,4270,14117,42212,7154,0,0
0,0,13,78,102,735302,135645,14433,14690,8000,10193,23067,8241,0,0
0,0,13,57,22,2004390,1031826,125083,234589,77074,114806,222111,84108,0,0
0,0,13,54,-91,500702,134751,4368,75803,35046,18167,36778,19022,0,0
0,0,17,60,73,93861,54928,24251,6985,3551,13126,9308,2973,0,0
0,0,26,70,36,1960707,312717,197014,54408,32096,93044,165044,34694,0,0
0,0,21,77,169,2708043,507360,109523,190233,50581,42260,117666,30864,0,0
0,0,23,70,-11,1000754,140243,28477,5054,4164,15184,36877,6094,0,0
0,0,21,57,69,1055442,546016,58607,10126,11200,77770,111190,16986,0,0
0,0,23,54,87,1850490,256988,80487,73274,65090,81129,37915,19027,0,0
0,0,34,51,8,1070340,128811,54004,4362,9190,31349,15836,2875,0,0
0,0,34,57,18,1136743,75230,58180,4166,28324,13465,23144,5618,0,0
0,0,35,69,81,148800,14999,6717,1389,3813,3299,6734,2236,0,0
0,0,41,61,18,177702,80465,10347,8977,6486,39691,6189,8714,0,0
0,0,44,51,168,658847,54472,8759,2233,11340,18944,15409,4323,0,0
